"QNr","Qname","Skname","Jahr","Anz_BP_SQ","Anz_Kinder_VA","Belegungsfaktor","Versorgungsquote"
11,"Rathaus","Zürichberg",2014,12.5,93.9,1.72,0.2290
11,"Rathaus","Zürichberg",2015,12.5,85.8,1.75,0.2550
11,"Rathaus","Zürichberg",2016,12.5,75.6,1.75,0.2894
11,"Rathaus","Zürichberg",2017,47,75.7,1.77,1.0989
11,"Rathaus","Zürichberg",2018,0,86.7,1.79,0.0000
11,"Rathaus","Zürichberg",2019,0,100,1.75,0.0000
11,"Rathaus","Zürichberg",2020,0,84,1.77,0.0000
12,"Hochschulen","Zürichberg",2014,57.5,13.5,1.72,7.3259
12,"Hochschulen","Zürichberg",2015,67.5,11.7,1.75,10.0962
12,"Hochschulen","Zürichberg",2016,45,9.8,1.75,8.0357
12,"Hochschulen","Zürichberg",2017,39,15.3,1.77,4.5118
12,"Hochschulen","Zürichberg",2018,39,14.1,1.79,4.9511
12,"Hochschulen","Zürichberg",2019,39.5,15.3,1.75,4.5180
12,"Hochschulen","Zürichberg",2020,41.5,13.7,1.77,5.3617
13,"Lindenhof","Zürichberg",2014,0,21.7,1.72,0.0000
13,"Lindenhof","Zürichberg",2015,".",22.9,1.75,0.0000
13,"Lindenhof","Zürichberg",2016,0,27.7,1.75,0.0000
13,"Lindenhof","Zürichberg",2017,0,29.5,1.77,0.0000
13,"Lindenhof","Zürichberg",2018,0,27.7,1.79,0.0000
13,"Lindenhof","Zürichberg",2019,0,23,1.75,0.0000
13,"Lindenhof","Zürichberg",2020,0,25.9,1.77,0.0000
14,"City","Zürichberg",2014,155.5,35.2,1.72,7.5983
14,"City","Zürichberg",2015,155.5,36.1,1.75,7.5381
14,"City","Zürichberg",2016,193,31.3,1.75,10.7907
14,"City","Zürichberg",2017,277,39.8,1.77,12.3188
14,"City","Zürichberg",2018,356,26.4,1.79,24.1379
14,"City","Zürichberg",2019,356,28.8,1.75,21.6319
14,"City","Zürichberg",2020,387.5,29.9,1.77,22.9390
21,"Wollishofen","Uto",2014,305,846.2,1.72,0.6199
21,"Wollishofen","Uto",2015,286,896.1,1.75,0.5585
21,"Wollishofen","Uto",2016,274,953.3,1.75,0.5030
21,"Wollishofen","Uto",2017,286.5,1154.9,1.77,0.4391
21,"Wollishofen","Uto",2018,451,1301,1.79,0.6205
21,"Wollishofen","Uto",2019,474,1336.3,1.75,0.6207
21,"Wollishofen","Uto",2020,469,1345.2,1.77,0.6171
23,"Leimbach","Uto",2014,33.5,423.9,1.72,0.1359
23,"Leimbach","Uto",2015,25,446.2,1.75,0.0981
23,"Leimbach","Uto",2016,25,458.3,1.75,0.0955
23,"Leimbach","Uto",2017,25,437.2,1.77,0.1012
23,"Leimbach","Uto",2018,25,449,1.79,0.0997
23,"Leimbach","Uto",2019,25,399.2,1.75,0.1096
23,"Leimbach","Uto",2020,48,391.1,1.77,0.2172
24,"Enge","Uto",2014,237,563.4,1.72,0.7235
24,"Enge","Uto",2015,225,604,1.75,0.6519
24,"Enge","Uto",2016,202,582.7,1.75,0.6067
24,"Enge","Uto",2017,202,607.3,1.77,0.5887
24,"Enge","Uto",2018,262.5,623.3,1.79,0.7539
24,"Enge","Uto",2019,282,630.3,1.75,0.7830
24,"Enge","Uto",2020,299,623.8,1.77,0.8484
31,"Alt-Wiedikon","Uto",2014,736.5,1023.2,1.72,1.2381
31,"Alt-Wiedikon","Uto",2015,756,1060.2,1.75,1.2479
31,"Alt-Wiedikon","Uto",2016,799.5,1051.3,1.75,1.3309
31,"Alt-Wiedikon","Uto",2017,809.5,1066.2,1.77,1.3439
31,"Alt-Wiedikon","Uto",2018,822,1059.9,1.79,1.3882
31,"Alt-Wiedikon","Uto",2019,824.5,1002.6,1.75,1.4391
31,"Alt-Wiedikon","Uto",2020,778.5,976.6,1.77,1.4110
33,"Friesenberg","Uto",2014,140,706,1.72,0.3411
33,"Friesenberg","Uto",2015,149.5,692.9,1.75,0.3776
33,"Friesenberg","Uto",2016,149.5,714,1.75,0.3664
33,"Friesenberg","Uto",2017,150.5,721.2,1.77,0.3694
33,"Friesenberg","Uto",2018,153,683.6,1.79,0.4006
33,"Friesenberg","Uto",2019,153,657.6,1.75,0.4072
33,"Friesenberg","Uto",2020,161,652.9,1.77,0.4365
34,"Sihlfeld","Limmattal",2014,221,1235.8,1.72,0.3076
34,"Sihlfeld","Limmattal",2015,233.5,1226.2,1.75,0.3332
34,"Sihlfeld","Limmattal",2016,235,1192.3,1.75,0.3449
34,"Sihlfeld","Limmattal",2017,231,1201,1.77,0.3404
34,"Sihlfeld","Limmattal",2018,215,1139.8,1.79,0.3376
34,"Sihlfeld","Limmattal",2019,251.5,1176.4,1.75,0.3741
34,"Sihlfeld","Limmattal",2020,255,1115.3,1.77,0.4047
41,"Werd","Limmattal",2014,148,270.8,1.72,0.9400
41,"Werd","Limmattal",2015,142.5,265.7,1.75,0.9386
41,"Werd","Limmattal",2016,143.5,274.8,1.75,0.9138
41,"Werd","Limmattal",2017,165,246.4,1.77,1.1853
41,"Werd","Limmattal",2018,169,248,1.79,1.2198
41,"Werd","Limmattal",2019,122.5,232.6,1.75,0.9216
41,"Werd","Limmattal",2020,122.5,244.6,1.77,0.8864
42,"Langstrasse","Limmattal",2014,294,379.6,1.72,1.3321
42,"Langstrasse","Limmattal",2015,266.5,392.9,1.75,1.1870
